Hotel Name,Content,Rating,Date of stay,
Hotel G Singapore,"The staff at Hotel G were really friendly and went above and beyond to put together something for our special day. Kudos to Daryl and Nana for helping us with the room booking and arrangement. My husband and I were really thankful and enjoyed our stay. The room was small and cosy and the location of the hotel was good. The only thing would be the carpark, the direction seems a bit off and a pity that it doesn’t have a pool and a fridge in the room. But nonetheless, it was an enjoyable and memorable stay! Thanks Daryl and Nana! :-)",8,Jun-21,
Hotel G Singapore,"Special kudos goes to Daryl at the front desk for his warm hospitality and helpful suggestions (like late night supper spots in the 'hood). We were there to celebrate a very special occasion and appreciate the room upgrade and complimentary glasses of wine. While compact, the room was clean, well-appointed and had what we needed for a good night's rest. Breakfast --which came with our booking -- was extremely decent with good coffee. Will be back!",10,Jun-21,
Hotel G Singapore,"Cozy contemporary interior design style, including their rooms, lobby and restaurants. Love the modern concept ambience.  Convenient central location which easy access to lots of places, walkable distance to MRT and malls.  Thank Mr. Bobby for the professional services, his hospitality provided us a GREAT staycation experience. Wonderful and comfortable stay.  Unfortunately we unable to have a sit at Ginett due to the tighten measurement, however manage to arrange a take away instead. Definitely will be back again to enjoy the dine in atmosphere for 25 Degrees as well.  In addition, it will another plus mark if refrigerator is setup in the room.",10,May-21,
Hotel G Singapore,"Would like to give a huge thanks to the receptionists that was working in the morning at 0735am on the 24th June 2021. I believe the person in charge’s name is Daryl? Accompanied with one intern, Zhiwei? Ziwei? Excellent customer service, my partner & i were happy with their customer service. Its rare to see and experience energetic and happy vibes early in the morning. Apologies if i got his name wrong. I lost his namecard as my partner and i got into an accident on our way back home. On the other hand, would definitely book a stay in Hotel G again!",10,Jun-21,
Hotel G Singapore,"Booked Hotel G for a birthday staycation and would say that I have no regrets! The overall experience was very memorable: Helpful recommendations by Dayana during the reservation process, smooth check-in by Yvonne who also gave us a room upgrade, friendly staff at Ginett and we definitely loved the food there!",10,May-21,
Hotel G Singapore,"Very good stay for small family size. But room only good for 2 pax max,  if family room size available will be a plus for sure. .  Overall thumbs up for Hotel G service staffs and quality..impressive pleasant environment and cleanliness.  Especially thanks to Ziwei who is very down serviced and having nice approachable attitude 👍",10,Jun-21,
Hotel G Singapore,HS basketball player you can do it you have you you i y i y and then takkan sekarang dekat manee bang for the call bli aku nyhh boss is in a w main mc jeaa lhaaa and puas you can do that for you busy this morning I didn't know that you were you going to be there,10,Jun-21,
Hotel G Singapore,"Cosy comfortable room with good amenities. Love the lemongrass scented shower wash. Aesthetically pleasing room decor. Excellent air conditioning. Not much of a view even though I’m on a high floor room, but the comforts within more than compensated.",8,Jun-21,
Hotel G Singapore,"Had an impromptu staycation, the staffs at hotel G was very accommodating, especially Daryl. Would definitely recommend as there’s many places to explore around the area! Had alot of fun and I would love to have a staycation here again.",10,Jul-21,
Hotel G Singapore,"Howard was very very considerate & helpful. He wished my husband happy birthday & made sure our stay was pleasant - even to the simple details like check out timing & extra treats. Very very sweet of him.   The room is minimalistic & simple, so it really depends on your liking. But customer service has won us over!!",10,Jul-21,
Hotel G Singapore,"Thoroughly enjoyed our stay at Hotel G. Rooms were clean and spacious with everything we need.  Beds were very comfortable and bathroom amenities are of good quality.  Food from 25Degrees were affordable and delicious.   Special thanks to Dayana from Reservations who made arrangements to decorate the room when we called prior to our stay to inform that we are celebrating a birthday.  Howard and Bobby from the Reception helped with our check-in and out. Both gentlemen were helpful and very efficient, making the processes fuss-free.  Will definitely be back!",10,Jun-21,
Hotel G Singapore,"Great room and great staff! Love the food in their restaurant 25 Degrees Burger! The staff was extremely friendly, the atmosphere is so special that it really felt like home to me.  Thank you to the team especially Howard, Bobby & Dayana for the excellent hospitality!",8,Jun-21,
Hotel G Singapore,"During the booking process at Hotel G I am so glad that I’m assist with a friendly reservation staff name Dayana she answered all my queries and giving some advice on what category I needed to book very helpful., During arrival Bobby  who checked me in and giving a good room with some simple surprise decor in the room coz it’s my birthday stay and I met also Mr. Howard who also very welcoming personality and a friendly he suggest where to go to eat at dinner and lunch. We have a good meal also at 25 degrees restaurant which the food was amazing this 3 staff is a  at Hotel G keep it up and see you soonest keep safe and take care.",10,Jun-21,
Hotel G Singapore,"Booked the room during a 7/7 promo so it was a good deal. The room was of decent size (good room king) Other than the toilet area constantly getting wet from the bath, it was overall a pleasant stay.  The deal came with breakfast. We ordered 25 degrees’s burgers numbers one and three and they were delicious Staff in the whole hotel were very friendly.",10,Jun-21,
Hotel G Singapore,"It's my first time staying at Hotel G and it was truly a great experience!  Check in: I was being served by Yvonne, Bella & Farisah and they were really friendly and efficient in handling my check in.  Room: The room was spacious and it had all the necessary amenities and a great view!  Breakfast @ 25 DEGREES: I was pleasantly surprised that their American breakfast came with croissants instead of the usual toast. Overall, the American breakfast was excellent.  Thank you to the team for making my stay a safe and memorable one. (:",10,Nov-21,
Hotel G Singapore,"Had a wonderful one night staycation at Hotel G with friends. Room is cozy with all the amenities you need. Comfortable bed and hotel is surround by a lots of restaurant. The burger and breakfast from restaurant 25 degree was amazing. Most importantly the awesome front office team; special thanks to Howard, Bobby and Dayana who makes our statcation memorable. We will definitely stay again. Highly recommended!",10,Jun-21,
Hotel G Singapore,"We were warmly welcomed in to the lobby with friendly staff, and the one attended to us was Zhiwei. She made us feel comfortable and even upgraded our room! She also recommended the breakfast menu, which was amazing cause I heard the breakfast there is a must. Their service, location and food is good. However, we were bummed to know that their TV doesn’t have the HDMI port to connect to our laptop so we had to watch whatever is on their channels. Other than that, everything was worth it.",10,Nov-21,
Hotel G Singapore,"Little bit small but others (location, breakfast, price .... and) quite good to revisit. Easily access to the Hotel (most Taxi deivers know the location).  Recommend for the short - mid term Biz trip.  (But it's quite small to share the room with others.)",10,May-22,
Hotel G Singapore,"Room is very clean and tidy. The staff named Bella was very friendly, cheerful and polite. She made an effort to ensure that we have the best possible stay at Hotel G. 10/10 for the service rendered by bella👍🏻",10,May-22,
Hotel G Singapore,"It was my 2nd stay at the hotel as the 1st was great. Hotel is conveniently located within walking distance between the various MRTs line. Apart from the convenient location, hawker centre and shopping malls are nearby and there are a few tourist attractions within walking distance too. Reception services at the front desk are great and hassle free, I was able to check-in fuss free. Booked the Great King Room and in my opinion and it was great. The room had all basic amenities needed for a short stay and it is spacious enough for 2 person. Breakfast served at Ginette was great and lunching there was great due to its affordable pricing (within $10-$20/pax). But do remember to make reservation early as it is quite crowded during the weekends. Overall, I had an impressive stay at…",10,May-22,
Hotel G Singapore,"Rooms are really tiny, yet expensive. Not for business people, very poor service, limited facilities. if on a very low budget, just OK, otherwise look for better hotel. Few good staff, other dont listen. Breakfast menu poor.",10,Jun-22,
Hotel G Singapore,"The rug in the hallway looks like it had its day, and the smell adds to that feeling.  The gym is advertised to be open 24/7 but it's not. You have to get an appointment from the receptionist and he (Mr. Luke) insisted it is not open before 6am. No room for negotiation. Basta.   For a 4 Star hotel one would expect a bottle of water in the room, or a shaving set, or maybe both. But neither is available.   Had to go to the reception 3 times until they finally managed to get my card key working.  Yeah, nah, this hotel is a let down.",4,Jun-22,
Hotel G Singapore,"We've stayed for 2 nights and it was a nice stay. It was a small room but enough facility. Hope the price was cheaper. (+) Location: walking distance to MRT stations to explore the city (+) Facilities: new furnitures, toiletries, water, coffee and tea, kettle etc (+) Staff: kind and friendly, especially Mr. Daryl Goh (+) The room had window and looked exactly as picture (+) Wifi was strong  (-) Nothing",8,May-22,
Hotel G Singapore,"We spent 4 nights at our hotel and experience isn’t up to our expectations: Pros: - Nice design  - Good location Cons: - No fridge as we couldn’t thought at 4 star hotel - Poor breakfast selection. You are only choose one main course, which is the most terrible and worth to choose to stay at others hotel including buffet breakfast. The hotel management should public explicitly about this option for guest to consider to book at this hotel rather than mention ”Breakfast Included” - Service is just ok. Staff isn’t friendly and accommodating.",4,May-22,
Hotel G Singapore,I’m a returned customer and I’m always very pleased by the quick check-in as well as the quality of service :) Daryl and his team are always on top on things which makes every stay hassle / stress free. Thank you for yet another great service & I look forward to returning again! :),10,May-22,
Hotel G Singapore,Have stayed many times when visiting Singapore. Very inventive services - I always feel like they think of everything. The staff are also very friendly and helpful even when I asked about some quite complex situations. Only thing that isn't great is you have to walk through a trendy restaurant to get to the entrance so it can be kind of awkward. Otherwise great place.,10,Jun-22,
Hotel G Singapore,"Been to Hotel G many times before, always loved how unique and homely the rooms felt. Our recent stay was a step above, partly due to the amazing service by Daryl the hotel manager. He made sure all our needs were met and made the check in process as seamless as possible (didn't even take more than 2 minutes to get our keys). Was pleasantly surprised when he offered to upgrade us to a bigger and better room and extended our check out timing. Would definitely come here again! Thanks Daryl once again if you see this!",10,Jun-22,
Hotel G Singapore,This is a dysfunctional  establishment which appears to be run to facilitate the the management  not the customer! Different facilities like Ginett and 25° are open at different times on different days. You also have to book well in advance for Ginett (during my 6 night stay I was unable to secure a table in the restaurant). The various parts of the ‘hotel’ are dysfunctional with each other as I was unable to book the restaurant at reception for Tuesday when Ginett was closed on a Monday! I have numerous other examples but since I suspect the management would not be interested I will not waste my time,4,Jun-22,
Hotel G Singapore,"Overall is good! Staff was friendly and had a free upgrade of the room. The staff was also very quick to response to our request (e.g. new toilet rolls)   However, the master button to switch off the lights was not working. There was no shower curtain in the toilet.",8,Jun-22,
Hotel G Singapore,"Top notch service provided from when we check in to when we left.   Daryl, the senior duty manager, was the one who checked us in. He was friendly and pleasant, explaining all the check in procedures patiently.   Love the excellent service he provided and truly a gem to the industry and the hotel.  Keep it up!❤️",10,Jun-22,
Hotel G Singapore,"Spent a night with great air-con and comfortable bed. Check in was smooth and staff were friendly. Had a lovely clean room and even after I checked out, calling for help was easy when I left my item behind. Great surroundings too with many food choices at Fortune Centre. Will return again.",10,Jun-22,
Hotel G Singapore,"smallest room, very bad service, bed size too small, no space to move around in the room, wash basin planned outside toilet. do not go with the pictures in any of the booking site, everything is wrong.",2,Jun-22,
Hotel G Singapore,"Hotel manage Darryl is very friendly. We got a room upgrade and late checkout. Room was clean, bed had very good mattress. Hotel offers good value for money. Centric location. We will come back for sure.",10,Jun-22,
Hotel G Singapore,The front desk employees are friendly and helpful. Really tries their best to provide you with the best service. The room is clean and cosy. Convenient location and many good foods nearby. Recommended to stay here!,10,Jun-22,
Hotel G Singapore,"Room is pretty small but we came to just chill and have a ""couple-time. The room is pretty clean and reasonable for the price paid.  A Good Room Queen is all we need for a couple getaway and the location is great.  Nearest MRT station is Bencoolen - a stone throw away and there are many eateries around it.  Will consider coming back soon.",8,Jun-22,
Hotel G Singapore,"Hotel room was clean, well maintained and the staff were friendly and polite. Breakfast was a selection from 1 of 5 main dishes: waffles, congee, american breakfast, etc. Free flow fruits, croissants and drinks were also available.  The room TV has a good selection of channels but also supports screen casting from your laptop or android device if you're more into youtube or Netflix shows.  Shout-out to the manager on duty Daryl Goh for the warm welcome and exceptional service! We would be happy to return in the future.",10,May-22,
Hotel G Singapore,"Bad cleaning. Not very good location. Not possible to buy breakfast if not booked in advance (according to the unfriendly young small lady in charge of the breakfast). Bad elevators, took forever to get to/from room.",4,May-22,
Hotel G Singapore,"The check in process was fast and simple, the room was clean and tidy! Great for a solo stay. The location of the hotel is perfect is you want to walk around to many interesting spots in the district. it is also a 10 minutes walk to a train station.",10,Apr-22,
Hotel G Singapore,"I am very pleased with the people who works in Hotel G Singapore, especially its duty manager - Debbie Ong. I wasn't aware that my check-in timing was at 3pm, and went earlier than I should - Ms Debbie then, explained to me that the rooms wasnt ready and said she will give me a call once the room is ready. And she did.  I am really touched by her service because she didn't have to do it but she went all out.",10,Sep-21,
Hotel G Singapore,"simple, clean and friendly, location of hotel is excellent near Hospital, MRT station, hotel staff very efficient, friendly provide good service, hotel amenities are OK, Light are OK convenient for work at room, Air Condition is OK, shower hot and cold water are OK",10,Apr-22,
Hotel G Singapore,"He was very welcoming and full of energy he helped me with my check in with great effort, even gave me two complimentary vouchers for two free in-house drinks at ginett restaurant. He was also so kind enough to help me check if it was possible to have late check out :)",10,Apr-22,
Hotel G Singapore,"Room was small,The pressure of the Shower is too slow.Called Front office no one pick up.Key card also not working after i check in  Mini bar to small and  no wine glass. Room is not soundproof u can heard people talking from outside  Location is good near MRT and City",4,Apr-22,
Hotel G Singapore,"Check in at midnight however there no one to assist with the luggage. Room is small and no Sound proof.  Mini bar was not cold and no wine glass. Request for Ice ,need to go to the lobby to collect.   Some staff is friendly and some is not. Room is clean",6,Apr-22,
Hotel G Singapore,"Excellent service provided by Daryl at Hotel G, was welcomed and greeted by him with a smile and explained clearly the details of the stay and was enthusiastic providing the service. The room is comfortable and relaxing.",10,May-22,
Hotel G Singapore,"I've stayed with Hotel G many many times. It's probably the best 4* hotel in Singapore. The reservations team were prompt and accomodating to reasonable requests. Housekeeping team is always so helpful and timely in their worm. Senior Duty Manager - Mr. Daryl Goh is very attentive to my requests upon check-in, such a great experience! So glad that Hotel G has such a wonderful team. To many more stays ahead~",10,May-22,
Hotel G Singapore,"I would like to highly commend Mr. Daryl who helped us check in before the check-in time due to our flight arriving earlier than expected. The check-in process was quick and professional. Our room package includes free burgers and room decorations which Mr. Daryl informed right from check-in. He also gave us a bottle of red wine, I'm not sure if that's part of the package or it was complimentary by him but we highly appreciated it.  Our room was a King size bed, the room is compact. Just enough to open a large-size luggage but will need to close it back up to have any walking space. The room is fully equipped with all the amenities you can want. The location of the hotel is within a few minutes of the closest MRT station and is surrounded by many good local restaurants.  Highly…",10,May-22,
Hotel G Singapore,"My 3rd stay in Hotel G. Served by friendly staff Aiman and was happy to receive my first free room upgrade here. Staff was fast and efficient. The room was a lot bigger than the standard room. Basic but comfortable. Only down side is there is no mini refrigerator. Location is convenient. Overall, quite satisfied.",8,May-22,
Hotel G Singapore,"Me and my hubby were checked in hotel G and stayed for one night to celebrate my birthday, served by staff named ttani, she was so patient and nice, got a free upgrade and one bottle of red wine cos of my birthday, will visit here again definitely!",10,May-22,
Hotel G Singapore,"4-night stay; 3 adults in adjacent double & single rooms (sold as family room)  Upside: (1) Downtown location - walking distance to Orchard Road, Little India, Bugis, etc.; two MRT (subway) stations nearby (2) Reasonable rate for family room - 2 adjacent rooms each with comfortable beds (queen & single, respectively), efficient air-conditioning, rainforest showers in each bathroom with forceful water pressure, quality toiletries and good soundproofing; breakfast for 3 included in rate (3) Small gym - due to Covid, need to reserve ahead for a 1-hour slot (max 4 users) and pick up keycard from reception (4) Food options right downstairs - went to the French restaurant for breakfast and for reasonably priced wines one evening, and to the Mamak (Indian-Muslim) 24-hour diner for a…",8,May-22,
Hotel G Singapore,"Came here solo for a business trip. Very strategic place, easy to find (I took MRT) for someone who is not familiar with Singapore. Lots of good food in the neighborhood! Room is small but quite cozy. Hospitality is nice! Recommended, I would say.",10,May-22,
Hotel G Singapore,"Good - located at strategic location. Hotel reception staff are quite friendly.    Bad- initially I stayed at Good room for one night, then upgraded to Great Room that is slightly bigger. Still find the rooms very small and not sound proof.   I am very disappointed that the hotel provided expired Body lotion to guests. Realised it when I got back home as I took it home since I used it halfway. I have attached the photos.   The pillows smell so would suggest the hotel air the pillows outdoor or sanitized it.",4,May-22,
Hotel G Singapore,"The location is strategic, it,s centralized and near to everywhere, you needed.   the hotel room is unique and has a good concept,   the towel is not replaced by a new one, even if it,s already changed to a new day.",6,May-22,
Hotel G Singapore,"the location is good but rooms are very very small, probably 4-5 meter sq. the lifts are super slow and you need to wait a long time to go down/up. not recommened for longer stays but is a decent place for one night.",4,May-22,
Hotel G Singapore,The first night my bed smelled horrible; they don't clean your room every day except your requests. I would advise anyone to stay at a different hotel. It's not suitable for someone not used to the smelly environment. The only positive thing shops are around the corner,2,Apr-22,
Hotel G Singapore,"The check in process was fast and simple, room was clean and tidy! Although it's a little small but it's really cozy and has all the necessities (just note that there's no mini fridge in the room). Bella at the front desk was very kind and helpful too ☺️ Pleasant experience, would visit again in the future!",10,Apr-22,
Hotel G Singapore,"This was our 2ns time at this hotel. We brought friends along as being quite reasonable prices and location is great. We thought that after 2 years closed because of COVID the hotel.should be spotless clean, but no. It is worst than last time we came. Shower has mold, rust spots and dust everywhere. The curtain blinds id the room were full of dust, we opened them and a cloud of dust flew.over our heads. As we came with friends and we had in total 3 rooms we dis also check.whith them, same story in the bathroom and the room.  But most important and to underline is that when you check in they inform they wont clean the room daily unless you stay 3 consecutive nights!!! it was a definitely ""no"" for us all. We got the room clean daily at least.  The restaurants have good vibes and…",4,Jun-22,
Hotel G Singapore,"Stayed at this hotel for 3 nights from the 15th June, the hotel is in a good location with loads of shops, restaurants and markets nearby. We ate in both restaurants located under the hotel as if you are a guest you can have a discount, food really good in both. Our room was spotless we were on the 6th floor in 0632, the room itself is very small but we knew that before we arrived so wasnt much of a shock, we did joke that the pictures made the room look huge, all basics in the room and really comfy bed with quilted mattress protector which always makes a difference, they have a green policy so wont clean the room the day after you arrive unless you request it which i think is quite a good idea, overall really good experience and would definately stay here again",10,Jun-22,
Hotel G Singapore,"Our receptionist Matthew was awesome! He was very helpful and kind. We checked in our bags in our bags and checked in to our rooms early. They were kind enough to help us out even though check in was 2 hours from then. Room was nice, clean and affordable! Will definitely stay here again when I come back!",10,Sep-22,
Hotel G Singapore,Rooms were very small and not what I expected. Shower and toilet share the same space (literally you could showers while using the toilet). I have stayed in a number of other properties in Singapore in a similar price range and this was my least favorite. I also am not as fond of the neighborhood.,4,Sep-22,
Hotel G Singapore,"My friend and I really enjoyed our stay at Hotel G. We found the location to be very central and only a short walk from unique neighborhoods, restaurants, bars, and shopping malls. We were also able to easily walk to Marina Bay Sands and the Gardens by the Bay. And it is close to three or four metro stops (on different lines) making public transport really easy. The room is very sensibly laid out, with cute touches, a comfy bed, and a waterfall shower. Breakfast is also fantastic; with a wide range of choices (local, international, and ‘western’ - the lentil dal is especially amazing). The staff is also great - especially Matthew at the front desk, who made us feel very welcome at check in.",10,Sep-22,
Hotel G Singapore,"I checked in a night after my business partner came and it was tremendously smooth and easy despite arriving at past 1am.   The corrodors were a bit tight but enough for a full-sized hotel trolley to pass. Room is budget-sized, we booked 2 single beds. Toilet is just right for budget travellers, no bidet, but quality of fixtures and toiletries is above average with the rainshower option.   Location is very convenient: - a block away from Bencoleen MRT Stn - a few blocks from Bugis shopping malls and the market  - popular bar downstairs - neighnorhood food stalls nearby  Breakfast option is the bomb! You can get East Asian and contemporary options with quality espresso too!  The Duty Managers are divine with their personalized attention to us especially with several oversized…",8,Aug-22,
Hotel G Singapore,"Tristan at reception was a nice guy, room was small with a large bed but with a good view out of the window, everything was clean and tidy. Good location, planty of shopping and dinning places around.",10,Sep-22,
Hotel G Singapore,"Is bit hipster/rundown backpackers hostel asking money on level of real hotel. Rooms are interestingly decorated, but very very small. Management is not really trustwothy. Our group left hotel early after first night and booked in much better and convenient IBIS nearby.",4,Aug-22,
Hotel G Singapore,"dined at ginett with my family for a birthday celebration. ambience and atmosphere was nice and warm. The staff working there was amazing, elevated our dining experience with their attention for details.",10,Sep-22,
Hotel G Singapore,Very good location with two MRT stations within walking distance. Good working desk. I already knew that the room size was on the small size so this wasn't an issue. Prob could have done with more power charging points (only 2 in one room).,10,Aug-22,
Hotel G Singapore,"We really enjoyed staying in Hotel G. Room was small but comfy and clean. We had a view to Marina Bay Hotel 👍. Wifi worked great. Good location, metro nearby. Full respect and thanks to Matthew who was very helpful and supportive, early check-in was allowed by him. Recommended!",10,Sep-22,
Hotel G Singapore,"- Hotel was great - The staff is very polite, and helpful and clearly explained about the details. - Very clean - Room interior very nice - Breakfast great! - Was staying for 3 night, and very near from business district - Would come back for sure!",10,Sep-22,
Hotel G Singapore,Good location! Walking distance to Bugis and Plaza Singapura. Full of local hawker centre and restaurants around the area. Good for foodies to hunt the local food. Rooms were small but clean and front desk staff wasn't friendly. Overall its one of the best location that I have stayed in Singapore hotels. Rooms for improvement! ,6,Sep-22,
Hotel G Singapore,"So far so good! Nana did a great job of checking us early and getting us a room after a long flight!!! It is a very clean and modern hotel in a good part of town. Would recommend this for solo and couple travellers, maybe a bit small for families depending on the room",10,Sep-22,
Hotel G Singapore,"Good location, very close to Bugis, 15 minute walk to Little India, 200 metres to the MRT entrance on Bencoolen St. The check in staff are very helpful.  Interesting decor, I'd call it funky industrial. The rooms (numbers 11 and up on each floor) are unusually long and skinny, maybe 8 metres long and 2 metres wide but after an initial WTF you find it works quite well. Avoid rooms 01, a very small and cramped double, and rooms 02 an even smaller and more cramped single. Everything is very clean, the shower is hot, the bed is good. There are no fridges but an ice bucket is available from the bar downstairs.",8,Aug-22,
Hotel G Singapore,the size of the room is right and clean. Also the staff is very kind and cleans every day. i will be stay more than one week. but i feel very comfortable.I hope that the rest of the stays the same. thanks,10,Oct-22,
Hotel G Singapore,"Good location, excelent breakfast. The staff were very helpfull. Aisha on reception even took the trouble to help us find the train station and advise us on where to visit on our two day break. The room was small but clean and had all the facilities we required.",8,Sep-22,
Hotel G Singapore,"Room is relatively small with no cupboard. Ironing board is also not provided in the room. Will need to call reception to have it send. For a small boutique hotel, it is value for money, the hotel restaurant have deals everyday, the food is not bad too.",8,Nov-21,
Hotel G Singapore,"We had an excellent 6d. stay at Hotel G. Some people complain about the small room size but hey, you are in Singapore! Everything is tidy & clean with an outstanding service by the front desk staff - especially Matthew! Very convenient location with good restaurants around the corner: from tasty paratas, 24/7 great Thai food and great 25 Degrees hamburgers to a succulent steak américain at Ginett. Discount for hotel guests at Ginett and 25 Degrees.",10,Aug-22,
Hotel G Singapore,"Consider for the price (please look out for their promotion packages from their own website), location and service, overall staying at Hotel G make us feel comfortable and relax. Daryl Goh who serve us, also impress us with his excellent pride service which he initial to upgrade our queen size bedroom to 2 single beds without any charge, explaining that it is much more convenience for my mum to walk about during the night which is true and really thoughtful of him. He also did an early check in for us and explaining everything in detail. It did make our stay more enjoyable. We definitely will be back 😊",10,Jun-22,
Hotel G Singapore,"so far it has been quite a pleasant stay. staff have been exceptionally accommodating to my requests. special thanks to kalai and ziwei for agreeing to bring a cake up to my room as a surprise! i really appreciate it, and will definitely be back :)) i highly recommend this hotel.",10,Sep-22,
Hotel G Singapore,"The hotel is in nice area, close to MRT station. Reception staff, Matthew is very friendly and helpful. Good service. Room is small but have everything you need, clean and chic decor. Best match for those who looking for nice place to stay but spend a lot of time explore the city.",10,Aug-22,
Hotel G Singapore,"Did a staycation with my friend on their Linger Longer promo which is a two-night stay in their Good Room. It was bundled with 25 Degrees’ (the restaurant downstairs) It Takes Two box which includes 2 Signature Burgers and 1 side.   Room + Amenities: The room was comfy enough for two petite ladies like us! Interesting layout where the sink was outside the  toilet. They use fancy METIS brand soaps which smell good! There's no wardrobe in this room though so you'll have to hang your clothes by the mirror at the entrance where there's only 4 hangers.  Food: Only comment for the burger combo we had that was included in our promo package was that the fries tasted a little stale. Otherwise, the burgers themselves were pretty decent!  Service: Staff were super friendly and accommodated…",8,Jun-22,
Hotel G Singapore,"We booked 3 nights at Hotel G (a 4 star hotel) room type queen bed when we were back in Cairo but when we arrived and the receptionist ( her name is Hema) knew that we were on our honeymoon trip, she upgraded our room type to king bedroom. She was amazing and super friendly, helped us with a lot of attractions booking. Hotel is at a central location next to a lot of 24/7 open restaurants and supermarkets so we had an amazing experience trying out lots of cuisines (turkish, thai, indian, vietnamese, chinese) and there is like a bar (couple of bars) corner which is open till late (3 am).  The room is a bit small though but everything is clean and super cozy. You can also use their restaurant which is pretty good and affordable even if you didnt book any food in advance.",8,Jun-22,
Hotel G Singapore,Overall a pleasant experience given the price. Good location with easy access to nearby shopping malls. Bed was comfortable.  Special shout-out to Pauline for her honesty and for a job well done. Room was clean and neat. Thanks.,8,Jul-22,
Hotel G Singapore,am a first coming to G Hotel Interesting entrance great ambience early check in at 1PM  warm staff perfect for solo traveller location is close to MRT and bus station - reasonable price full amenities is provided  will definitively come back to G hotel!,10,Jul-22,
Hotel G Singapore,"This hotel is cute but tiny. I would never stay here again. The service is very average, beds are ok but the room is very very small. 2.5 meters by 2.5 meters in the sleeping area. I wanted to leave as I had other places to go but was told I will not get a refund this was not advised in advance. Beware this place is like chocolate coated dog crap.... Looks great on the outside but has a nasty surprise when you look inside. I hope they go broke for being jerks.",2,Jul-22,
Hotel G Singapore,"room is very basic. for long stay the cleaner doesnot clean the room properly. glass, mugs and floors are dirty even after room service. the complementary stuffs in the room were not top up regularly. for short stay or one night stay probably good option. Breakfast has no varities having everyday same menu. location wise good as it is close to bugis and bencoolen MRT.",6,Jul-22,
Hotel G Singapore,My second visit to this hotel. Darryl was very welcoming and provided tip top hospitality to me and my friends. He handled to our requests and needs very attentively and tried his best to accord - was given a room upgrade & also welcome drinks voucher from Ginett! Reservation Haziqah also provided seamless and easy booking! Kudos to the team @ Hotel G!,10,Jul-22,
Hotel G Singapore,"The location is nice! Breakfast is not recommended! I regretted to eat breakfast in the hotel!  If can, better eat at toast box near by. The hotel not very sound proof. The hotel plays music at the hallway but I can hear it in the room. Very annoying if you want to sleep off late.",8,Jul-22,
Hotel G Singapore,"We stayed at Hotel G Singapore for a couple of nights and everything was excellent!! The Manager Daryl was super nice and providing us with an excellent service at all times! The staff, the stay, the location... Everything was perfect! We will come back for sure!",10,Jul-22,
Hotel G Singapore,"Very good training staff, fast and efficient. The atmosphere of the hotel is very chic. They do not have a decent lobby to access. If u have a suitcase to carry. U need to be aware the entrance. The front desk is in the second floor. It is better to access by taxi if u carry a big suitcase like me. Other than that very decent hotel",10,Jul-22,
Hotel G Singapore,Excellent location. Very small rooms and not worth for the money. WiFi also an issue. Facilities were limited. Not even a place to hang your clothes. I had a Great King room and hence the desk for working was good. Wash basin outlet pipe was also clogging.,6,Jul-22,
Hotel G Singapore,wish the space to king size bed in all direction was better.  no concierge service i.e. you carry your own luggage!  no pool - that was expected.  staff was courteous and was very responsive. Breakfast was as expected.,8,Jul-22,
Hotel G Singapore,The reception staff superb especially Yvonne has been very very helpful with all my questions and requests for assistance. I will be coming here next time I am Singapore. Good service /good facilities and good value for money. regards Ian,10,Jul-22,
Hotel G Singapore,"It felt like we had arrived at a youth hostel, although the man at the desk was very pleasant, he had no knowledge of the area or tourist attraction. The room was a queen omg! It was tiny! No room to open the case nowhere to hang clothes, the shower when used soaked the whole room. Clothes felt damp. Unless you are a young backpacker or don’t mind roughing it give this hotel a wide birth. The only plus we’re good location and breakfast.",4,Jul-22,
Hotel G Singapore,"Stayed at this hotel for 4 nights for a work trip. Room was on the small side, but very clean, comfortable, sleek, functional and well-designed to maximise the limited space. Common areas were in general a bit tight, including the car access area to the lobby on Level 2 (bigger cars might have difficulties coming up for pickup/drop-off). Staff service was excellent - friendly, helpful and welcoming. Breakfast provided was basic but of decent quality, and hotel guests are entitled to a discount at a connecting restaurant called 25 Degrees Burgers. Above all, the hotel is centrally located within close proximity to eateries and amenities, and only a short walk to Bencoolen MRT and Bugis area - really good location. Probably not good for families, more for work/solo trips. Overall…",8,Jul-22,
Hotel G Singapore,"Although the hotel is offered as a 4* it is not true. The rooms are very small and mine specifically, was a double one and one roomate has, at its side, the wall. Teo middle bags cannot be opened at the same time inside the room. The sink is outside the bathroom and the wc and the shower are together, with no separation so when you shower, the floor and the wc get wet.   The breakfast (in level 1) is ok, but if you go 15 minutes before closing, they start removing the food.   The reception is located on the 2nd floor.",4,Aug-22,
Hotel G Singapore,"18-20 Jul 2022-someone in the family was tested positive, to protect our 2 elderlies, we had to house them in a hotel.. turned out Hotel G was an excellent choice! Reception staff Ms Nana offered us a room fitted w senior friendly amenities - seat in shower area, grab bars in the toilet, low bed for easie movement, spacious room to accommodate wheelchair. Ms Natalie was so kind to fulfil our requests to get meals to their room on time and even get vegetarian meals for 1 of them who’s vegetarian. Mr Matthew was ever so friendly greeting us w smiles behind his mask each time we approached the counter. The housekeeping staff were excellent very prompt in cleaning up the room. Great Thanks! again to all staff at Hotel G! Keep up the wonderful service to those in need!! 😄👍",10,Jul-22,
